Well_ID,Date,Temperature (°C),Soil Type,Rainfall (mm),Humidity (%),Evaporation Rate (mm/day),Water Table Depth (m),Land Use Type,Groundwater Extraction Rate (L/day),Area Name,Salinity (mg/L)
93940,2015-01-01,28.2,Clay,169.2,81.5,2.44,16.51,Agriculture,16777.0,Guntur,232.98
86358,2015-01-02,40.2,Silty,75.2,34.0,12.58,7.35,Industrial,19792.0,Kurnool,951.99
57454,2015-01-02,20.9,Clay,159.8,74.5,6.04,6.28,Residential,15218.0,Anantapur,174.69
43156,2015-01-02,27.0,Loamy,54.6,76.9,12.19,17.23,Industrial,21565.0,Nellore,753.39
19826,2015-01-02,23.4,Clay,182.3,88.5,13.69,16.27,Forest,31856.0,West Godavari,654.92
91586,2015-01-02,42.4,Clay,57.3,67.3,2.38,21.86,Residential,22044.0,Srikakulam,290.24
16459,2015-01-03,33.3,Loamy,245.5,25.5,14.01,14.87,Forest,46534.0,West Godavari,497.09
21618,2015-01-03,20.7,Clay,279.9,27.4,14.81,24.76,Industrial,5196.0,Guntur,1398.08
98783,2015-01-04,29.5,Clay,209.6,54.9,3.73,20.55,Industrial,6120.0,Anantapur,1085.58
32363,2015-01-05,24.2,Silty,237.2,55.7,7.99,18.68,Industrial,15673.0,Nellore,1118.95
87119,2015-01-05,35.6,Silty,160.2,28.2,10.99,28.22,Residential,21752.0,Guntur,1303.44
58596,2015-01-06,22.0,Silty,130.1,60.3,6.34,20.04,Industrial,32469.0,Visakhapatnam,1028.7
13221,2015-01-06,40.1,Peaty,153.3,70.0,7.74,17.13,Residential,33723.0,Srikakulam,986.6
33741,2015-01-07,27.4,Loamy,131.4,93.5,5.88,25.91,Industrial,31738.0,Visakhapatnam,1253.62
62994,2015-01-08,35.7,Clay,4.2,37.8,11.63,26.39,Industrial,44333.0,Kadapa,1080.2
24377,2015-01-08,24.6,Loamy,55.3,84.7,10.82,18.38,Industrial,22096.0,Visakhapatnam,1093.41
15346,2015-01-08,29.8,Silty,159.7,24.8,9.07,20.11,Residential,26045.0,Srikakulam,838.57
95213,2015-01-10,34.2,Sandy,158.0,73.7,2.39,8.39,Industrial,43527.0,Kurnool,835.46
11692,2015-01-10,38.9,Sandy,274.2,94.4,3.13,19.33,Agriculture,49352.0,Srikakulam,1374.33
24882,2015-01-10,43.2,Peaty,31.2,25.2,11.3,15.58,Residential,11278.0,Nellore,1480.38
81724,2015-01-10,34.4,Peaty,172.0,26.4,11.32,14.46,Agriculture,19632.0,Kadapa,1019.84
70057,2015-01-10,32.3,Sandy,186.2,62.3,3.93,2.04,Residential,21717.0,Kurnool,451.16
63088,2015-01-11,29.8,Clay,85.2,92.5,6.62,3.71,Agriculture,40639.0,Visakhapatnam,598.47
22734,2015-01-11,22.6,Loamy,140.5,58.3,14.5,23.82,Industrial,26728.0,Chittoor,262.21
71761,2015-01-11,40.6,Clay,217.9,83.9,4.65,8.07,Forest,23662.0,Kadapa,404.05
44943,2015-01-12,20.7,Loamy,111.1,23.9,10.71,5.54,Industrial,22994.0,Nellore,1454.09
